32050067050,"COASTAL WAVES VACATIONS, LLC                      ",3616 7 MILE RD,GALVESTON           ,TX,77554,84,10, COASTAL WAVES VACATIONS                          ,4158 GREEN HERON DR,GALVESTON           ,TX,77554,84,1,1901,1901,May
32049649729,"ALL SEASONS RENTALS,  INC.                        ",15113 BAT HAWK CIR,AUSTIN              ,TX,78738,227,22, CROSSING C                                       ,613 HI CIR N,HORSESHOE BAY       ,TX,78657,150,1,0,0,May
32039987733,TIRUPATI LODGING CORP.                            ,1407 S MAIN ST,HIGHLANDS           ,TX,77562,101,1, HIGHLANDS SUITES                                 ,1407 S MAIN ST,HIGHLANDS           ,TX,77562,101,31,29800.92,11727.17,May
32001947285,IRMA A HARTMAN                                    ,2423 E MAIN ST,EAGLE PASS          ,TX,78852,159,1, HOLLY INN                                        ,2423 E MAIN ST,EAGLE PASS          ,TX,78852,159,70,11678.76,11678.76,May
32046829167,"SPI RENTALS, LLC                                  ",104 W BAHAMA ST STE B,S PADRE ISLE        ,TX,78597,31,46," SPI RENTALS, LLC - BEACH                         ",6401B BEACH DR,SOUTH PADRE ISLAND  ,TX,78597,31,1,5400,5400,May
32015454328,WILLIAM T HOVESTADT                               ,PO BOX 310279,NEW BRAUNFELS       ,TX,78131,46,11, W T H INVESTMENTS                                ,777 CLOUD LN,NEW BRAUNFELS       ,TX,78130,94,1,19797,19797,May
32044594219,"KEY ALLEGRO COASTAL LUCE PROPERTIES, LLC          ",1809 BAY SHORE DR,ROCKPORT            ,TX,78382,4,137,703 ALLEGRO NORTH CONDOS,620 S FULTON BEACH RD APT 703,ROCKPORT            ,TX,78382,4,3,1780,1780,May
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,191,(LC28) MICHAEL OR DAWN COACH,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,1150,1150,May
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,189,(LC42) STEVEN GATTO,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,1550,1550,May
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,155,(PB 114) TERRY L CARTER,2012 HWY 361 #114,PORT ARANSAS        ,TX,78373,178,1,0,0,May
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,156,(PB 205) LARRY OR VICKY MURPHY,2012 HWY 361 # 205,PORT ARANSAS        ,TX,78373,178,1,1110,1110,May
