32049649729,"ALL SEASONS RENTALS,  INC.                        ",15113 BAT HAWK CIR,AUSTIN              ,TX,78738,227,22, CROSSING C                                       ,613 HI CIR N,HORSESHOE BAY       ,TX,78657,150,1,0,0,April
32046829167,"SPI RENTALS, LLC                                  ",104 W BAHAMA ST STE B,S PADRE ISLE        ,TX,78597,31,46," SPI RENTALS, LLC - BEACH                         ",6401B BEACH DR,SOUTH PADRE ISLAND  ,TX,78597,31,1,5287.33,5197,April
32015454328,WILLIAM T HOVESTADT                               ,PO BOX 310279,NEW BRAUNFELS       ,TX,78131,46,11, W T H INVESTMENTS                                ,777 CLOUD LN,NEW BRAUNFELS       ,TX,78130,94,1,9484,9484,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,191,(LC28) MICHAEL OR DAWN COACH,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,2649,2649,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,189,(LC42) STEVEN GATTO,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,915,915,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,155,(PB 114) TERRY L CARTER,2012 HWY 361 #114,PORT ARANSAS        ,TX,78373,178,1,0,0,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,156,(PB 205) LARRY OR VICKY MURPHY,2012 HWY 361 # 205,PORT ARANSAS        ,TX,78373,178,1,735,735,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,194,(PB101) STEVEN AND MARY MORGAN,2012 HWY 361 #101,PORT ARANSAS        ,TX,78373,178,1,910,910,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,192,(PB202) SANDRA ELROD,2212 STATE HIGHWAY 361 # 202,PORT ARANSAS        ,TX,78373,178,1,0,0,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,196,(PB206) LARRY OR VICKEY MURPHY,2122 STATE HIGHWAY 361 # 206,PORT ARANSAS        ,TX,78373,178,1,135,135,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,190,(TC301) GERALD OR DONNA HILL,2120 S 11TH ST,PORT ARANSAS        ,TX,78373,178,1,700,700,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,197,(109FD) ANTHONY OR CYNTHIA MARTINEZ,109 FIVE DOVE CIR,PORT ARANSAS        ,TX,78373,178,1,1875,1875,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,222,(131 C) NATHAN PAYNE,131 WHITE STREET # C,PORT ARANSAS        ,TX,78373,178,1,0,0,April
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,193,(1515E) ELAINE TEBBEN,1515 S 11TH ST,PORT ARANSAS        ,TX,78373,178,1,1460,1460,April
